firstName,lastName,year,teamname,leaguename,phase,draftRound,overall,signed,"drafting team",draftPosit,borndate,place,ht,WT,Bats,Throws,draftRegionID,PlayerID,retroid,mlbid,playerClass,schoolDivision,g,ab,r,h,dbl,tpl,hr,rbi,sb,cs,bb,so,hbp,sh,sf,ibb,gdp,tb,pa,xbh,sgl,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr
Philip,Diedrick,2015,"Western Kentucky","Conference USA",June-Reg,29,884,Y,"Washington Nationals",OF,9/17/1992,"Kingston,ON",'6-1,210,L,R,KY,156662,,592264,Sr,"NCAA 1",52,179,17,52,9,0,8,22,1,1,18,40,5,0,2,0,4,85,204,17,35,.291,.368,.475,.843,.285,.184,.331,8.82,19.61,2.22,22.38
Steven,Duggar,2015,Clemson,"Atlantic Coast Conference",June-Reg,6,186,Y,"San Francisco Giants",OF,11/4/1993,"Spartanburg,SC",'6-1,187,L,R,SC,160738,duggs001,621453,Jr,"NCAA 1",61,227,56,69,12,1,5,43,10,5,54,49,3,0,8,0,3,98,292,18,51,.304,.432,.432,.864,.388,.128,.354,18.49,16.78,0.91,45.40
Jordan,George,2015,"Arkansas State","Sun Belt Conference",June-Reg,35,1057,Y,"Pittsburgh Pirates",1B,7/16/1992,"Blytheville,AR",'6-2,200,B,R,AR,162140,,665009,Sr,"NCAA 1",55,203,38,81,22,1,3,34,9,4,52,28,16,2,1,0,2,114,274,26,55,.399,.548,.562,1.110,.443,.163,.451,18.98,10.22,0.54,67.67
Jake,Kalish,2015,"George Mason","Atlantic 10 Conference",June-Reg,32,969,Y,"Kansas City Royals",P,7/9/1991,"Red Bank,NJ",'6-2,210,B,L,VA,162819,,592455,5S,"NCAA 1",39,136,19,41,6,1,1,25,0,0,19,28,1,3,2,0,4,52,161,8,33,.301,.386,.382,.768,.221,.081,.367,11.80,17.39,1.47,136.00
Edwin,Drexler,2015,"Grambling State","Southwest Athletic Conference",June-Reg,38,1152,Y,"Los Angeles Dodgers",OF,7/1/1992,"Houston,TX",'6-2,185,B,R,LA,162896,,665124,Sr,"NCAA 1",38,142,30,39,4,1,3,18,25,3,24,33,4,2,0,0,0,54,172,8,31,.275,.394,.380,.774,.430,.105,.340,13.95,19.19,1.38,47.33
Shane,Conlon,2015,"Kansas State","Big 12 Conference",June-Reg,34,1028,Y,"Oakland Athletics",1B,2/27/1992,"Downers Grove,IL",'6-1,185,L,L,KS,163114,,642837,5S,"NCAA 1",52,196,36,57,13,2,2,26,10,4,24,18,7,1,2,0,6,80,230,17,40,.291,.384,.408,.792,.270,.117,.309,10.43,7.83,0.75,98.00
Anthony,McIver,2015,"San Diego","West Coast Conference",June-Reg,15,440,Y,"Minnesota Twins",P,4/8/1992,"San Diego,CA",'6-5,210,L,L,CA,163843,,664999,5S,"NCAA 1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,100.00,0.00,0.00
Kyle,Garlick,2015,"Cal Poly Pomona","California Collegiate Athletic Association",June-Reg,28,852,Y,"Los Angeles Dodgers",OF,1/26/1992,"La Habra,CA",'6-0,210,R,R,CA,163920,garlk001,664247,5S,"NCAA 2",63,243,70,87,16,4,17,56,10,0,35,31,10,0,4,0,3,162,292,37,50,.358,.452,.667,1.119,.000,.309,.352,11.99,10.62,0.89,14.29
Greg,Brodzinski,2015,Barry,"Sunshine State Conference",June-Reg,18,534,Y,"Philadelphia Phillies",C,7/23/1991,"Pittsburgh,PA",'6-2,220,R,R,FL,164305,,664919,Sr,"NCAA 2",49,196,38,64,13,0,5,46,2,1,11,15,5,1,6,0,4,92,219,18,46,.327,.367,.469,.836,.204,.142,.324,5.02,6.85,1.36,39.20
Jordan,Tarsovich,2015,"Virginia Military","Southern Conference",June-Reg,22,672,Y,"Los Angeles Dodgers",2B,6/20/1991,"Richmond,VA",'5-10,180,R,R,VA,164849,,664897,Sr,"NCAA 1",50,199,53,67,17,1,9,29,24,6,24,24,7,3,4,0,3,113,237,27,40,.337,.419,.568,.987,.442,.231,.341,10.13,10.13,1.00,22.11
Max,Almonte,2015,Villanova,"Big East Conference",June-Reg,16,491,Y,"St. Louis Cardinals",P,3/4/1992,"Far Rockaway,NY",'6-1,205,R,R,PA,164879,,664998,5S,"NCAA 1",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Sam,Koenig,2015,Milwaukee,"Horizon League",June-Reg,27,825,Y,"Los Angeles Angels",OF,3/16/1992,"Prairie du Sac,WI",'6-4,220,R,R,WI,165030,,641764,5S,"NCAA 1",58,230,58,83,19,2,15,57,6,0,37,50,4,1,2,0,5,151,274,36,47,.361,.454,.657,1.111,.483,.296,.407,13.50,18.25,1.35,15.33
Phil,Pfeifer,2015,Vanderbilt,"Southeastern Conference",June-Reg,3,101,Y,"Los Angeles Dodgers",P,7/15/1992,"Knoxville,TN",'6-0,200,L,L,TN,165095,,547177,Sr,"NCAA 1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Vimael,Machin,2015,VCU,"Atlantic 10 Conference",June-Reg,10,293,Y,"Chicago Cubs",SS,9/25/1993,"Humacao,PR",'5-10,185,L,R,VA,165109,machv001,605353,Sr,"NCAA 1",65,254,42,86,13,2,3,53,6,7,27,28,5,0,8,0,2,112,294,18,68,.339,.401,.441,.842,.205,.102,.359,9.18,9.52,1.04,84.67
Andrew,Amaro,2015,Tampa,"Sunshine State Conference",June-Reg,35,1044,Y,"Philadelphia Phillies",OF,4/2/1993,"Philadelphia,PA",'6-1,175,L,R,FL,165133,,607446,Sr,"NCAA 2",43,144,45,45,9,3,3,25,18,4,24,29,9,4,3,0,4,69,184,15,30,.313,.433,.479,.912,.431,.166,.365,13.04,15.76,1.21,48.00
Kewby,Meyer,2015,Nevada,"Mountain West Conference",June-Reg,37,1108,Y,"Tampa Bay Rays",OF,10/27/1992,"Honolulu,HI",'6-1,195,L,L,NV,165151,,605380,Sr,"NCAA 1",55,236,60,81,23,3,6,55,8,4,15,16,4,2,5,0,5,128,262,32,49,.343,.385,.542,.927,.280,.199,.342,5.73,6.11,1.07,39.33
Dante,Flores,2015,USC,"Pacific-12 Conference",June-Reg,18,532,Y,"Chicago White Sox",2B,4/8/1993,"Whittier,CA",'5-9,160,L,R,CA,165167,,607531,Sr,"NCAA 1",59,217,34,66,11,4,5,43,4,1,30,34,6,3,4,0,4,100,260,20,46,.304,.397,.461,.858,.309,.157,.335,11.54,13.08,1.13,43.40
Joe,Pistorese,2015,"Washington State","Pacific-12 Conference",June-Reg,17,515,Y,"Seattle Mariners",P,10/15/1992,"Bellevue,WA",'6-2,175,L,L,WA,165172,,607057,Sr,"NCAA 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Kevin,Kramer,2015,UCLA,"Pacific-12 Conference",June-Reg,2,62,Y,"Pittsburgh Pirates",SS,10/3/1993,"Turlock,CA",'6-0,195,L,R,CA,165185,kramk001,596012,Sr,"NCAA 1",61,254,55,82,14,2,7,34,7,8,36,38,11,1,4,0,5,121,306,23,59,.323,.423,.476,.899,.291,.153,.352,11.76,12.42,1.06,36.29
Casey,Thomas,2016,"Texas A&M Corpus Christi","Southland Conference",June-Reg,34,1012,Y,"Oakland Athletics",SS,3/16/1993,"Phoenix,AZ",'5-10,160,R,R,TX,165239,,607744,Sr,"NCAA 1",51,208,31,67,3,6,0,22,5,4,17,24,0,2,3,0,3,82,230,9,58,.322,.368,.394,.762,.159,.072,.358,7.39,10.43,1.41,0.00
Sutton,Whiting,2015,Louisville,"Atlantic Coast Conference",June-Reg,24,713,Y,"Chicago Cubs",SS,5/13/1992,"Youngstown,OH",'5-8,170,B,R,KY,165280,,607768,Sr,"NCAA 1",63,252,39,76,13,2,0,27,15,7,38,54,7,4,0,0,3,93,301,15,61,.302,.407,.369,.776,.250,.067,.384,12.62,17.94,1.42,0.00
Nick,Flair,2015,Tampa,"Sunshine State Conference",June-Reg,34,1035,Y,"Los Angeles Angels",3B,10/31/1992,"New Orleans,LA",'6-3,200,R,R,FL,165307,,607168,Sr,"NCAA 2",51,206,42,67,15,2,9,57,3,0,18,38,7,0,6,0,6,113,237,26,41,.325,.388,.549,.937,.325,.224,.352,7.59,16.03,2.11,22.89
